0<= x < 30; y_0 = 50.0 + 0.6x; interpolation 
3600<= x < 3630; y_120 = 793.0 + -0.2x; interpolation 
3630<= x < 3660; y_121 = -780.0 + 0.23333333333333334x; interpolation 
3660<= x < 3690; y_122 = 684.0 + -0.16666666666666666x; interpolation 
3690<= x < 3720; y_123 = -546.0 + 0.16666666666666666x; interpolation 
3720<= x < 3750; y_124 = 446.0 + -0.1x; interpolation 
3750<= x < 3780; y_125 = 1946.0 + -0.5x; interpolation 
3780<= x < 3810; y_126 = -2086.0 + 0.5666666666666667x; interpolation 
3810<= x < 3840; y_127 = 73.0 + 0.0x; interpolation 
3840<= x < 3870; y_128 = 457.0 + -0.1x; interpolation 
3870<= x < 3900; y_129 = 1876.0 + -0.4666666666666667x; interpolation 
3900<= x < 3930; y_130 = -74.0 + 0.03333333333333333x; interpolation 
3930<= x < 3960; y_131 = -2039.0 + 0.5333333333333333x; interpolation 
3960<= x < 3990; y_132 = 469.0 + -0.1x; interpolation 
3990<= x < 4020; y_133 = 2065.0 + -0.5x; interpolation 
4020<= x < 4050; y_134 = -213.0 + 0.06666666666666667x; interpolation 
4050<= x < 4080; y_135 = -1698.0 + 0.43333333333333335x; interpolation 
4080<= x < 4110; y_136 = 206.0 + -0.03333333333333333x; interpolation 
4110<= x < 4140; y_137 = 1713.0 + -0.4x; interpolation 
4140<= x < 4170; y_138 = -2151.0 + 0.5333333333333333x; interpolation 
4170<= x < 4200; y_139 = 629.0 + -0.13333333333333333x; interpolation 
4200<= x < 4230; y_140 = 2169.0 + -0.5x; interpolation 
4230<= x < 4260; y_141 = -2625.0 + 0.6333333333333333x; interpolation 
4260<= x < 4290; y_142 = 73.0 + 0.0x; interpolation 
4290<= x < 4320; y_143 = 2790.0 + -0.6333333333333333x; interpolation 
4320<= x < 4350; y_144 = -378.0 + 0.1x; interpolation 
4350<= x < 4380; y_145 = -2408.0 + 0.5666666666666667x; interpolation 
4380<= x < 4410; y_146 = 3140.0 + -0.7x; interpolation 
4410<= x < 4440; y_147 = 4316.0 + -0.9666666666666667x; interpolation 
4440<= x < 4470; y_148 = -4860.0 + 1.1x; interpolation 
4470<= x < 4500; y_149 = 504.0 + -0.1x; interpolation 
4500<= x < 4530; y_150 = -2046.0 + 0.4666666666666667x; interpolation 
4530<= x < 4560; y_151 = -687.0 + 0.16666666666666666x; interpolation 
4560<= x < 4590; y_152 = 833.0 + -0.16666666666666666x; interpolation 
